# full fluctuation pressure: T	Pressure/T^3
0.1	0.01401487939692875
0.2	0.07324942099823296
0.3	0.1272496021264485
0.4	0.17650795596667376
0.5	0.22004199368565297
0.6	0.2564900226709418
0.7	0.2812529691334453
0.8	0.26960166729105006
0.9	0.24021326953092664
1.0	0.21630401270518
1.1	0.201491296617743
1.2	0.1896080709543735
1.3	0.1793632002579233
1.4	0.17251194332263564
1.5	0.16695390140273358
1.6	0.16240067035099898
1.7	0.16595771739917425
1.8	0.15534478922267156
1.9	0.1525624217463855
2.0	0.1501481793597055
