# full fluctuation pressure: T	Pressure/T^3
0.1	0.020107380130707887
0.16551724137931034	0.06383579864179448
0.23103448275862068	0.1053116067278305
0.296551724137931	0.1475184756998271
0.3620689655172414	0.18902153893844106
0.42758620689655175	0.21688978376277668
0.49310344827586206	0.24075233012517872
0.5586206896551724	0.2634256142196014
0.6241379310344828	0.28357993640043344
0.6896551724137931	0.29293747768156514
0.7551724137931034	0.2918217165938216
0.8206896551724138	0.28211058118503934
0.8862068965517241	0.2682505627079224
0.9517241379310345	0.2553459489508376
1.0172413793103448	0.24425181830908985
1.0827586206896551	0.23536516151025597
1.1482758620689655	0.22781749583414357
1.2137931034482758	0.22119088123127875
1.2793103448275862	0.21560889331508076
1.3448275862068966	0.21099078926012257
1.410344827586207	0.20671786554075683
1.4758620689655173	0.2031072898985014
1.5413793103448277	0.19977717377044488
1.606896551724138	0.1969927310779675
1.6724137931034482	0.19421399260925737
1.7379310344827585	0.19181718675708243
1.803448275862069	0.1897035081001985
1.8689655172413793	0.1877202571549378
1.9344827586206896	0.18600320508151863
2.0	0.18445248638093467
