T/M,q=0.0,Q=2.5M,q=5M,Kappa=0
0.01,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.02,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.03,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.04,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.05,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.06,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.07,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.08,1.12810349464417,1.12810349464417,1.12810349464417,0.999999761581421
0.09,1.12810206413269,1.12810206413269,1.12810206413269,0.999996900558472
0.1,1.12810063362122,1.12810063362122,1.12810206413269,0.999991178512573
0.11,1.12809634208679,1.12809777259827,1.12809920310974,0.999975442886353
0.12,1.128084897995,1.12808918952942,1.12809491157532,0.999942541122437
0.13,1.12806344032288,1.1280734539032,1.128084897995,0.999881029129028
0.14,1.12802338600159,1.12804341316223,1.12806630134583,0.999778032302856
0.15,1.12795615196228,1.12799477577209,1.12803483009338,0.9996178150177
0.16,1.12785315513611,1.12791609764099,1.12798476219177,0.999380350112915
0.17,1.1277015209198,1.12780165672302,1.12791180610657,0.999048471450806
0.18,1.12748837471008,1.12763857841492,1.12780737876892,0.998600721359253
0.19,1.12719368934631,1.12741684913635,1.12766575813293,0.998017072677612
0.2,1.12682175636292,1.12712502479553,1.12747979164124,0.997277498245239
0.21,1.12634110450745,1.12675309181213,1.1272394657135,0.996361970901489
0.22,1.12574172019959,1.12628674507141,1.12693905830383,0.995253324508667
0.23,1.12501215934753,1.12571597099304,1.12656855583191,0.993931531906128
0.24,1.12413811683655,1.12502932548523,1.12612366676331,0.992379426956177
0.25,1.12310671806335,1.12421536445618,1.1255943775177,0.990579843521118
0.26,1.12190651893616,1.12326264381409,1.12497353553772,0.988518476486206
0.27,1.12052321434021,1.12216687202454,1.12425541877747,0.986178159713745
0.28,1.11894965171814,1.1209123134613,1.12343430519104,0.983546018600464
0.29,1.1171715259552,1.11949181556702,1.12250018119812,0.980607748031616
0.3,1.11518168449402,1.11790251731873,1.12145161628723,0.977350473403931
0.31,1.11297011375427,1.11612582206726,1.12028288841248,0.973758459091187
0.32,1.11052680015564,1.11416172981262,1.11898684501648,0.969821691513062
0.33,1.10784459114075,1.11200308799744,1.11755919456482,0.965527296066284
0.34,1.10491633415222,1.10963988304138,1.11599564552307,0.960860967636108
0.35,1.10173487663269,1.10706925392151,1.11429333686829,0.955812692642212
0.36,1.09829163551331,1.10428547859192,1.11244797706604,0.950366735458374
0.37,1.09458088874817,1.10128140449524,1.11045670509338,0.944511651992798
0.38,1.09059548377991,1.09805417060852,1.10831665992737,0.938234567642212
0.39,1.0863311290741,1.09454226493835,1.10602355003357,0.931519746780396
0.4,1.08178067207336,1.09091019630432,1.10357737541199,0.924355745315552
0.41,1.07693839073181,1.08698487281799,1.1009738445282,0.916725397109985
0.42,1.07179999351501,1.08282065391541,1.09821152687073,0.90861439704895
0.43,1.0663583278656,1.07841324806213,1.09529042243958,0.900004148483276
0.44,1.06061196327209,1.07375979423523,1.09220767021179,0.890877485275269
0.45,1.05455231666565,1.06885743141174,1.0889618396759,0.881214380264282
0.46,1.04817652702332,1.0637047290802,1.08555293083191,0.870994806289673
0.47,1.04148030281067,1.05829739570618,1.08198094367981,0.860195875167847
0.48,1.03445792198181,1.0526340007782,1.07824301719666,0.848793268203735
0.49,1.02710795402527,1.04671454429626,1.07434058189392,0.836758375167847
0.5,1.01942181587219,1.04053616523743,1.07027363777161,0.824062585830689
0.51,1.01139950752258,1.03409743309021,1.06604075431824,0.810672998428345
0.52,1.00303673744202,1.02739834785461,1.06164336204529,0.796552419662476
0.53,0.994327783584595,1.02043604850769,1.05708146095276,0.781660795211792
0.54,0.985271215438843,1.01321482658386,1.05235648155212,0.765948057174683
0.55,0.975864171981812,1.00572752952576,1.04746699333191,0.749365568161011
0.56,0.966102361679077,0.997978448867798,1.04241585731506,0.731850385665894
0.57,0.955984354019165,0.989967584609985,1.03720164299011,0.71333384513855
0.58,0.945507287979126,0.981694936752319,1.03182864189148,0.693734407424927
0.59,0.93467116355896,0.973161935806274,1.02629542350769,0.6729576587677
0.6,0.923474550247192,0.964370012283325,1.02060484886169,0.650890588760376
0.61,0.911917448043823,0.955320596694946,1.01475834846497,0.627395868301392
0.62,0.899999856948853,0.946016550064087,1.00875735282898,0.602307558059692
0.63,0.88772177696228,0.936459302902222,1.00260186195374,0.575415372848511
0.64,0.875088930130005,0.926653146743774,0.996297597885132,0.546457529067993
0.65,0.862101316452026,0.91659951210022,0.989843130111694,0.515082120895386
0.66,0.848766088485718,0.906305551528931,0.983242750167847,0.480819940567017
0.67,0.835090398788452,0.895774126052856,0.976496458053589,0.443001508712769
0.68,0.821079969406128,0.88501238822937,0.96960711479187,0.40062689781189
0.69,0.806746244430542,0.874024629592896,0.962581872940064,0.352052450180054
0.7,0.792100667953491,0.862816572189331,0.95541787147522,0.294222593307495
0.71,0.777158975601196,0.851396799087524,0.948120832443237,0.219933271408081
0.72,0.761938333511353,0.839773893356323,0.940693616867065,0.0964958667755127
0.73,0.746458768844605,0.827955007553101,0.93313479423523,7.15255737304688E-07
0.74,0.730730295181274,0.815951585769653,0.925454378128052,7.15255737304688E-07
0.75,0.714804410934448,0.803772211074829,0.917652368545532,7.15255737304688E-07
0.76,0.698696851730347,0.791431188583374,0.90973162651062,7.15255737304688E-07
0.77,0.68244194984436,0.778937101364136,0.901696443557739,7.15255737304688E-07
0.78,0.66607403755188,0.76630425453186,0.893551111221314,7.15255737304688E-07
0.79,0.649634599685669,0.753545522689819,0.885289907455444,7.15255737304688E-07
0.8,0.633163690567017,0.740678071975708,0.876919984817505,7.15255737304688E-07
0.81,0.616704225540161,0.727714776992798,0.86846137046814,7.15255737304688E-07
0.82,0.600303411483765,0.714665651321411,0.859902620315552,7.15255737304688E-07
0.83,0.584007024765015,0.701560735702515,0.851243734359741,7.15255737304688E-07
0.84,0.567860841751099,0.688411474227905,0.842506170272827,7.15255737304688E-07
0.85,0.551053762435913,0.675233602523804,0.83368706703186,7.15255737304688E-07
0.86,0.536202192306519,0.662050008773804,0.824796438217163,7.15255737304688E-07
0.87,0.520775556564331,0.648873567581177,0.815834283828735,7.15255737304688E-07
0.88,0.505669355392456,0.635710000991821,0.806803464889526,7.15255737304688E-07
0.89,0.49091649055481,0.622613668441773,0.79770827293396,7.15255737304688E-07
0.9,0.476548433303833,0.60958456993103,0.788554430007935,7.15255737304688E-07
0.91,0.46258807182312,0.596642732620239,0.779347658157349,7.15255737304688E-07
