Phi/M,mu-0,mu-0.9M,mu-1M,mu-1.1M
-2,0.176882636315678,0.176882636315678,0.176882636315678,0.176882636315678
-1.99,0.172631523050333,0.172631523050333,0.172631523050333,0.172631523050333
-1.98,0.168437449802508,0.168437449802508,0.168437449802508,0.168437449802508
-1.97,0.164300159059504,0.164300159059504,0.164300159059504,0.164300159059504
-1.96,0.160219391398765,0.160219391398765,0.160219391398765,0.160219391398765
-1.95,0.156194885487874,0.156194885487874,0.156194885487874,0.156194885487874
-1.94,0.152226378084555,0.152226378084555,0.152226378084555,0.152226378084555
-1.93,0.148313604036672,0.148313604036672,0.148313604036672,0.148313604036672
-1.92,0.144456296282232,0.144456296282232,0.144456296282232,0.144456296282232
-1.91,0.14065418584938,0.14065418584938,0.14065418584938,0.14065418584938
-1.9,0.136907001856403,0.136907001856403,0.136907001856403,0.136907001856403
-1.89,0.13321447151173,0.13321447151173,0.13321447151173,0.13321447151173
-1.88,0.129576320113927,0.129576320113927,0.129576320113927,0.129576320113927
-1.87,0.125992271051704,0.125992271051704,0.125992271051704,0.125992271051704
-1.86,0.122462045803911,0.122462045803911,0.122462045803911,0.122462045803911
-1.85,0.118985363939537,0.118985363939537,0.118985363939537,0.118985363939537
-1.84,0.115561943117714,0.115561943117714,0.115561943117714,0.115561943117714
-1.83,0.112191499087714,0.112191499087714,0.112191499087714,0.112191499087714
-1.82,0.108873745688949,0.108873745688949,0.108873745688949,0.108873745688949
-1.81,0.105608394850971,0.105608394850971,0.105608394850971,0.105608394850971
-1.8,0.102395156593474,0.102395156593474,0.102395156593474,0.102395156593474
-1.79,0.0992337390262934,0.0992337390262934,0.0992337390262934,0.0992337390262934
-1.78,0.0961238483494036,0.0961238483494036,0.0961238483494036,0.0961238483494036
-1.77,0.0930651888529203,0.0930651888529203,0.0930651888529203,0.0930651888529203
-1.76,0.0900574629170999,0.0900574629170999,0.0900574629170999,0.0900574629170999
-1.75,0.0871003710123398,0.0871003710123398,0.0871003710123398,0.0871003710123398
-1.74,0.0841936116991774,0.0841936116991774,0.0841936116991774,0.0841936116991774
-1.73,0.0813368816282912,0.0813368816282912,0.0813368816282912,0.0813368816282912
-1.72,0.0785298755405008,0.0785298755405008,0.0785298755405008,0.0785298755405008
-1.71,0.0757722862667655,0.0757722862667655,0.0757722862667655,0.0757722862667655
-1.7,0.073063804728186,0.073063804728186,0.073063804728186,0.073063804728186
-1.69,0.0704041199360036,0.0704041199360036,0.0704041199360036,0.0704041199360036
-1.68,0.0677929189916002,0.0677929189916002,0.0677929189916002,0.0677929189916002
-1.67,0.0652298870864983,0.0652298870864983,0.0652298870864983,0.0652298870864983
-1.66,0.062714707502361,0.062714707502361,0.062714707502361,0.062714707502361
-1.65,0.0602470616109924,0.0602470616109924,0.0602470616109924,0.0602470616109924
-1.64,0.057826628874337,0.057826628874337,0.057826628874337,0.057826628874337
-1.63,0.0554530868444803,0.0554530868444803,0.0554530868444803,0.0554530868444803
-1.62,0.0531261111636481,0.0531261111636481,0.0531261111636481,0.0531261111636481
-1.61,0.0508453755642071,0.0508453755642071,0.0508453755642071,0.0508453755642071
-1.6,0.0486105518686646,0.0486105518686646,0.0486105518686646,0.0486105518686646
-1.59,0.0464213099896687,0.0464213099896687,0.0464213099896687,0.0464213099896687
-1.58,0.0442773179300081,0.0442773179300081,0.0442773179300081,0.0442773179300081
-1.57,0.0421782417826121,0.0421782417826121,0.0421782417826121,0.0421782417826121
-1.56,0.0401237457305509,0.0401237457305509,0.0401237457305509,0.0401237457305509
-1.55,0.0381134920470352,0.0381134920470352,0.0381134920470352,0.0381134920470352
-1.54,0.0361471410954165,0.0361471410954165,0.0361471410954165,0.0361471410954165
-1.53,0.0342243513291869,0.0342243513291869,0.0342243513291869,0.0342243513291869
-1.52,0.0323447792919791,0.0323447792919791,0.0323447792919791,0.0323447792919791
-1.51,0.0305080796175668,0.0305080796175668,0.0305080796175668,0.0305080796175668
-1.5,0.028713905029864,0.028713905029864,0.028713905029864,0.028713905029864
-1.49,0.0269619063429256,0.0269619063429256,0.0269619063429256,0.0269619063429256
-1.48,0.0252517324609471,0.0252517324609471,0.0252517324609471,0.0252517324609471
-1.47,0.0235830303782648,0.0235830303782648,0.0235830303782648,0.0235830303782648
-1.46,0.0219554451793556,0.0219554451793556,0.0219554451793556,0.0219554451793556
-1.45,0.0203686200388371,0.0203686200388371,0.0203686200388371,0.0203686200388371
-1.44,0.0188221962214675,0.0188221962214675,0.0188221962214675,0.0188221962214675
-1.43,0.0173158130821458,0.0173158130821458,0.0173158130821458,0.0173158130821458
-1.42,0.0158491080659115,0.0158491080659115,0.0158491080659115,0.0158491080659115
-1.41,0.0144217167079453,0.0144217167079453,0.0144217167079453,0.0144217167079453
-1.4,0.0130332726335677,0.0130332726335677,0.0130332726335677,0.0130332726335677
-1.39,0.0116834075582408,0.0116834075582408,0.0116834075582408,0.0116834075582408
-1.38,0.0103717512875667,0.0103717512875667,0.0103717512875667,0.0103717512875667
-1.37,0.00909793171728864,0.00909793171728864,0.00909793171728864,0.00909793171728855
-1.36,0.00786157483329018,0.00786157483329018,0.00786157483329018,0.00786157483328996
-1.35,0.00666230471159582,0.00666230471159582,0.00666230471159582,0.00666230471159522
-1.34,0.00549974351837073,0.00549974351837073,0.00549974351837073,0.0054997435183691
-1.33,0.00437351150992057,0.00437351150992057,0.00437351150992057,0.00437351150991619
-1.32,0.00328322703269186,0.00328322703269186,0.00328322703269186,0.00328322703268005
-1.31,0.00222850652327181,0.00222850652327181,0.0022285065232718,0.00222850652323995
-1.3,0.00120896450838818,0.00120896450838818,0.00120896450838817,0.00120896450830223
-1.29,0.000224213604909415,0.000224213604909415,0.000224213604909405,0.00022421360467757
-1.28,-0.000726135480155113,-0.000726135480155113,-0.000726135480155141,-0.000726135480780486
-1.27,-0.00164247394965572,-0.00164247394965572,-0.00164247394965579,-0.00164247395134248
-1.26,-0.00252519491630167,-0.00252519491630167,-0.00252519491630187,-0.00252519492085094
-1.25,-0.00337469340266178,-0.00337469340266178,-0.00337469340266233,-0.00337469341493061
-1.24,-0.00419136634116417,-0.00419136634116417,-0.00419136634116567,-0.00419136637424964
-1.23,-0.00497561257409616,-0.00497561257409616,-0.00497561257410021,-0.00497561266331228
-1.22,-0.0057278328536045,-0.0057278328536045,-0.00572783285361542,-0.00572783309416304
-1.21,-0.00644842984169519,-0.00644842984169519,-0.00644842984172463,-0.0064484304902831
-1.2,-0.00713780811023355,-0.00713780811023355,-0.00713780811031293,-0.00713780985881461
-1.19,-0.00779637414094433,-0.00779637414094434,-0.00779637414115834,-0.00779637885470679
-1.18,-0.00842453632541136,-0.00842453632541139,-0.00842453632598826,-0.00842454903129776
-1.17,-0.00902270496507803,-0.0090227049650781,-0.00902270496663302,-0.00902273920810936
-1.16,-0.00959129227124694,-0.00959129227124713,-0.009591292275438,-0.00959138452867272
-1.15,-0.01013071236508,-0.0101307123650805,-0.0101307123763751,-0.0101309607406399
-1.14,-0.0106413812775985,-0.0106413812775999,-0.0106413813080371,-0.0106420487012099
-1.13,-0.0111237169496828,-0.0111237169496866,-0.0111237170317041,-0.0111255016823704
-1.12,-0.011578139232073,-0.0115781392320831,-0.011578139453074,-0.011582852297276
-1.11,-0.0120050698853683,-0.0120050698853954,-0.0120050704807933,-0.0120171473558312
-1.1,-0.0124049325800271,-0.0124049325800999,-0.0124049341840973,-0.012434017482632
-1.09,-0.0127781528963672,-0.0127781528965634,-0.0127781572173162,-0.0128415122714485
-1.08,-0.0131251583245659,-0.0131251583250943,-0.0131251699627311,-0.0132474720384803
-1.07,-0.0134463782646595,-0.0134463782660827,-0.0134464096057418,-0.0136570134312596
-1.06,-0.0137422440265438,-0.0137422440303767,-0.0137423283987404,-0.0140725526192811
-1.05,-0.014013188829974,-0.0140131888402954,-0.0140134157940028,-0.0144949751987441
-1.04,-0.0142596478045645,-0.0142596478323563,-0.0142602571924884,-0.0149244977151023
-1.03,-0.0144820579897889,-0.0144820580646153,-0.0144836861753815,-0.0153610759682029
-1.02,-0.0146808583349804,-0.0146808585364237,-0.0146851543744923,-0.0158045693284418
