T/M,mu_kappa_0.046/M,mu_kappa-0/M
0,1.1281,1
0.05,1.12147336354256,0.999999999793885
0.06,1.11929371170998,0.999999993066701
0.07,1.11659442915916,0.999999912517425
0.08,1.11372623972893,0.999999403732159
0.09,1.11067730917931,0.999997309778755
0.1,1.10737125287056,0.999990919395639
0.11,1.10400817704201,0.999975204980886
0.12,1.10009319529533,0.999942290514647
0.13,1.09608246378899,0.999881274493113
0.14,1.09156178412437,0.999778399800061
0.15,1.08742517933846,0.999617478972977
0.16,1.0830357521534,0.999380458170039
0.17,1.07847526640892,0.999048016640285
0.18,1.07377276978493,0.998600128222483
0.19,1.06910147252083,0.998016542247463
0.2,1.06434088053703,0.997277166015774
0.21,1.05972875447273,0.99636234792813
0.22,1.05520054392815,0.995253070219866
0.23,1.05090148730278,0.99393106488441
0.24,1.04695207867622,0.992378867563668
0.25,1.04328454012871,0.990579823375254
0.26,1.04010112957954,0.988518056849519
0.27,1.03731685566902,0.986178416007181
0.28,1.0351479622364,0.983546398491483
0.29,1.03328353152275,0.980608065763981
0.3,1.0320656806469,0.977349949752984
0.31,1.03138252224922,0.973758955015597
0.32,1.03117165760994,0.969822258412254
0.33,1.03115336833,0.96552720745593
0.34,1.03172248768806,0.960861217843022
0.35,1.03246266560555,0.95581167015741
0.36,1.03311570048332,0.95036580532596
0.37,1.03387416768074,0.944510618060239
0.38,1.03452720255852,0.938232747217363
0.39,1.03502746815681,0.931518361727989
0.4,1.03501348223686,0.924353040448875
0.41,1.03421843647957,0.916721643979291
0.42,1.03308234944344,0.908608176112101
0.43,1.03092529025078,0.899995632146189
0.44,1.02823246273994,0.890865830736627
0.45,1.0245444832325,0.881199225264821
0.46,1.02000013508797,0.870974689823296
0.47,1.01466396870613,0.860169273762987
0.48,1.00863926472664,0.848757917254766
0.49,1.00161618123054,0.836713118346561
0.5,0.993840009737015,0.824004539376546
0.51,0.98521607632637,0.810598537079106
0.52,0.975502316999436,0.796457595927016
0.53,0.965558327913284,0.781539637648433
0.54,0.954502996110916,0.765797170626796
0.55,0.942731154870987,0.749176229788063
0.56,0.930076048994065,0.731615038653413
0.57,0.916927132558823,0.713042297368691
0.58,0.902662570047379,0.693374958602446
0.59,0.88762663025856,0.672515288612277
0.6,0.871911835432053,0.650346908514189
0.61,0.855221253728867,0.626729343804342
0.62,0.837364461469651,0.601490327680043
0.63,0.818619025373459,0.574414605700007
0.64,0.79881819024086,0.545227067885056
0.65,0.777873737192154,0.513566227947055
0.66,0.755600621747971,0.478940269275616
0.67,0.732399056386948,0.440649146440546
0.68,0.707472919511795,0.397633746839387
0.69,0.681015862321854,0.348145506591622
0.7,0.652585714578629,0.288874649496684
0.71,0.622308349561692,0.211757573761227
0.711,0.619090512132645,0.202320829186359
0.712,0.615992092943192,0.192399709815752
0.713,0.61291949391365,0.181914980832092
0.714,0.609484336805344,0.170762854954897
0.715,0.606282636976242,0.158802784780724
0.716,0.603159473466873,0.145836122737782
0.717,0.599759819078445,0.131565581896404
0.718,0.59634187541008,0.115508901723192
0.719,0.593098217821121,0.0967811231735923
0.72,0.589628633832932,0.0733644301841862
0.721,0.586166580724716,0.0372768939596026
0.722,0.58280458073616,0
0.723,0.579304873228073,0
0.724,0.575803014039994,0
0.725,0.572300079011917,0
0.726,0.568785309743881,0
0.727,0.56518985247612,0
0.728,0.561855824327469,0
0.729,0.557705233621597,0
0.73,0.554437907552719,0
0.731,0.550720880365372,0
0.732,0.546817732858658,0
0.733,0.542832821512222,0
0.734,0.539310521364212,0
0.735,0.535367567777634,0
0.736,0.531471951150894,0
0.737,0.527587092924118,0
0.738,0.523534403657913,0
0.739,0.519555947351456,0
0.74,0.515521547365189,0
0.741,0.511516195058823,0
0.742,0.507234351873398,0
0.743,0.503117112207413,0
0.744,0.498918108701706,0
0.745,0.494716953516007,0
0.746,0.490380242490768,0
0.747,0.485829439306259,0
0.748,0.48158417468071,0
0.749,0.477008627176285,0
0.75,0.472795637750626,0
0.751,0.468159843206406,0
0.752,0.463545565462113,0
0.753,0.458888254117966,0
0.754,0.454263217973709,0
0.755,0.449412255430222,0
0.756,0.444625843286514,0
0.757,0.439559712743759,0
0.758,0.434635593080521,0
0.759,0.429539339017868,0
0.76,0.424444160795212,0
0.761,0.419144572973251,0
0.762,0.414099959230423,0
0.763,0.408659436368942,0
0.764,0.403426550626755,0
0.765,0.39742336344719,0
0.766,0.392190477705002,0
0.767,0.386599337244034,0
0.768,0.380916750383377,0
0.769,0.374699471044541,0
0.77,0.368937272024155,0
0.771,0.362706006765366,0
0.772,0.356540367746353,0
0.773,0.350050900888443,0
0.774,0.343442015790939,0
0.775,0.336951473093033,0
0.776,0.329946678876877,0
0.777,0.323336717939377,0
0.778,0.316070494604111,0
0.779,0.308954888868332,0
0.78,0.301316424894333,0
0.781,0.294204046678543,0
0.782,0.286488122224808,0
0.783,0.278208457612991,0
0.784,0.269929868841171,0
0.785,0.261116587591171,0
0.786,0.251978402662277,0
0.787,0.242778894853592,0
0.788,0.232977992486954,0
0.789,0.222752133321762,0
0.79,0.212234721517563,0
0.791,0.201045985555649,0
0.792,0.188899751996994,0
0.793,0.176574928998947,0
0.794,0.162562113046646,0
0.795,0.147548765897751,0
0.796,0.13087432179451,0
0.797,0.111280047941208,0
0.798,0.0880688000202179,0
0.799,0.0551125934123993,0
0.8,5.37919998168945E-07,0
