Omega^2,q-0,q-0.5M,q-1M,q-1.2M
0.0001,0,0.00289842282385919,0.00415715551339771,0.00424201110095041
0.000109647819614319,0,0.00303501116530661,0.00435318467544928,0.00444207708485695
0.000120226443461741,0,0.00317805024988014,0.00455853069797591,0.00465165898757149
0.000131825673855641,0,0.00332782818913527,0.00477357451739413,0.00487104428885994
0.000144543977074593,0,0.00348465838975677,0.00499872535463599,0.00510089462189566
0.000158489319246111,0,0.00364887891735023,0.00523457060969503,0.00534156362217902
0.000173780082874938,0,0.0038208582494597,0.00548156524782752,0.0055935571638239
0.000190546071796325,0,0.00400091670129077,0.00574019624313591,0.00585756696438268
0.000208929613085404,0,0.00418946617159968,0.00601106033906394,0.00613398574951605
0.000229086765276777,0,0.00438691178663292,0.00629477183385598,0.00642358552503754
0.000251188643150958,0,0.00459365197996434,0.00659190962343971,0.00672676346590647
0.000275422870333817,0,0.00481013096857441,0.00690310845599935,0.00704441175944396
0.000301995172040202,0,0.00503682450215915,0.00722908642378325,0.00737708540859434
0.000331131121482591,0,0.0052741834335319,0.00757049058140514,0.00772560774632846
0.000363078054770101,0,0.00552273579601397,0.00792811251509389,0.00809088456645324
0.000398107170553497,0,0.00578300255261543,0.00830270296766271,0.00847296325378614
0.000436515832240166,0,0.00605550762567348,0.00869501763303584,0.0088733527561836
0.000478630092322639,0,0.00634085410965532,0.00910600176358178,0.00929294113617394
0.000524807460249773,0,0.00663933917222727,0.0095365244147533,0.00973247526527788
0.000575439937337157,0,0.00695251153260732,0.00998754576252405,0.0101928944175433
0.000630957344480193,0,0.00728010935206317,0.010460019509463,0.0106752189850678
0.000691830970918936,0,0.00762310761486591,0.0109550596090646,0.0111808872734057
0.000758577575029184,0,0.00798222477605597,0.0114737356138454,0.011710157713869
0.000831763771102671,0,0.0083582899742936,0.0120170665156506,0.0122650125383707
0.00091201083935591,0,0.00875204057233242,0.0125863989134604,0.012846475456899
0.001,0,0.00916424216505849,0.0131830991736664,0.0134556391250909
0.00109647819614319,0,0.00959531391537714,0.0138071727419634,0.0140933728178023
0.00120226443461741,0,0.0100460786375077,0.0144599483329053,0.0147602469575796
0.00131825673855641,0,0.0105175435015442,0.0151433454315999,0.0154581496388882
0.00144543977074593,0,0.0110106320197846,0.0158583901484005,0.0161881267150553
0.00158489319246111,0,0.0115262940925513,0.0166069529039051,0.0169531571714868
0.00173780082874938,0,0.0120655798416083,0.0173904702675233,0.017753598156772
0.00190546071796325,0,0.0126292969799139,0.0182105508728682,0.0185915016165529
0.00208929613085404,0,0.0132188712288359,0.0190685551735586,0.0194685983306833
0.00229086765276777,0,0.0138351798323975,0.0199669061826549,0.0203865751121111
0.00251188643150958,0,0.0144792731070311,0.0209071295488898,0.0213483954481202
0.00275422870333817,0,0.0151521905485498,0.0218912428470776,0.0223529673937098
0.00301995172040202,0,0.0158552986194218,0.022921260117863,0.023406084801542
0.00331131121482591,0,0.0165898745829166,0.0239980067293176,0.0245081519893851
0.00363078054770101,0,0.0173567372286787,0.0251256052911714,0.0256605678521593
0.00398107170553497,0,0.0181573409362181,0.0263053224223807,0.0268682356799882
0.00436515832240166,0,0.0189930574351982,0.0275396609431098,0.0281310368023079
0.00478630092322638,0,0.0198648778802567,0.0288302514527226,0.0294526490249355
0.00524807460249773,0,0.0207741049238524,0.0301810691348562,0.0308407376470287
0.00575439937337157,0,0.0217221566901769,0.0315941304505494,0.0322822168755439
0.00630957344480193,0,0.0227099049901296,0.0330706405360106,0.0337959263834195
0.00691830970918936,0,0.0237386296257082,0.0346160077256533,0.035378183815291
0.00758577575029184,0,0.0248094508749077,0.0362313536214539,0.0370352068769913
0.00831763771102671,0,0.0259235326634054,0.0379197303304189,0.0387676822243671
0.0091201083935591,0,0.0270816749493627,0.0396852500881732,0.0405787575308618
0.01,0,0.0282847296439454,0.0415290998375131,0.0424726364697717
0.0109647819614319,0,0.0295331832953901,0.0434564403149771,0.0444526924975701
0.0120226443461741,0,0.0308275816690607,0.0454696993746069,0.0465226042053923
0.0131825673855641,0,0.032168396176795,0.0475721615272413,0.0486854363800258
0.0144543977074593,0,0.0335554248556992,0.0497674311099469,0.0509470520668893
0.0158489319246111,0,0.0349880350723638,0.0520587081256708,0.0533086892138682
0.0173780082874938,0,0.036465838883491,0.0544491001490564,0.0557749691925536
0.0190546071796325,0,0.0379870929711493,0.0569438618488495,0.0583511847560754
0.0208929613085404,0,0.0395502630450599,0.0595443061638894,0.0610403557870173
0.0229086765276777,0,0.0411529116843491,0.0622544401228794,0.0638469996573847
0.0251188643150958,0,0.0427907526487494,0.0650789283032911,0.0667741202908677
0.0275422870333817,0,0.0444602057297915,0.0680188685305753,0.0698233702423593
0.0301995172040202,0,0.0461553231320739,0.0710783695837512,0.0730111140551493
0.0331131121482591,0,0.0478686939866802,0.0742594310460575,0.0763284917364745
0.0363078054770101,0,0.0495922891873421,0.0775658675733267,0.0797830030102246
0.0398107170553497,0,0.0513148959792339,0.0809989149950065,0.0833774027095678
0.0436515832240166,0,0.0530234980875005,0.0845615011707187,0.0871224371736117
0.0478630092322638,0,0.054702312355132,0.0882539839391544,0.0910103748490618
0.0524807460249773,0,0.0563318084033564,0.0920776146279054,0.0950312222692459
0.0575439937337157,0,0.0578884031241671,0.0960299482476189,0.0992488442217146
0.0630957344480193,0,0.0593440174343985,0.100112508783368,0.10359827652844
0.0691830970918936,0,0.0606640583644071,0.104321126169952,0.108106837961995
0.0758577575029184,0,0.0618070424802424,0.108653367162062,0.112772293374309
0.0831763771102671,0,0.0627211268716911,0.113095170774563,0.117593659149809
0.091201083935591,0,0.0633445674686904,0.117665004163594,0.122571154616429
0.1,0,0.0635995983362694,0.122328037756999,0.12769886164247
0.109647819614319,0,0.063392775733206,0.127081287638934,0.13297507886562
0.120226443461741,0,0.0626015415811904,0.131909792799776,0.138365851438802
0.131825673855641,0,0.061072959214127,0.13679541094819,0.143944241746182
0.144543977074593,0,0.0586063397349097,0.141713202355203,0.149614456733963
0.158489319246111,0,0.0549319802862967,0.146637184025323,0.155390039313893
0.16,0,0.0544709484685732,0.147144601512883,0.155986945835082
0.1681,0,0.0517835235985448,0.149774077113303,0.15912675469337
0.173780082874938,0,0.0496738374783055,0.151536670410329,0.16125412026019
0.1764,0,0.0486360348783463,0.152326481989214,0.162213574187185
0.1849,0,0.0449735765681409,0.154799852185838,0.165244381954262
0.190546071796325,0,0.0422780334962013,0.156366613115006,0.167179576705617
0.1936,0,0.0407271466872919,0.157189818317227,0.168212716946633
0.2025,0,0.0358095946446634,0.159495668184202,0.171116442036453
0.208929613085404,0,0.0318568418126235,0.161083424437491,0.173152782136123
0.2116,0,0.0301053979659364,0.16169593037957,0.173975855145842
0.2209,0,0.0234612026020468,0.163850833770673,0.176767895006025
0.229086765276777,0,0.0168225531466083,0.165619099867194,0.17912529060712
0.2304,0,0.0156827867245167,0.165894166758286,0.179497300702379
0.2401,0,0.00668373070214816,0.167845794933515,0.182160785621042
0.25,0,0,0.169700220871149,0.184762691848301
0.251188643150958,0,0,0.169913970337056,0.185066708030451
0.2601,0,0,0.171457297792079,0.187297050534954
0.2704,0,0,0.173117610856752,0.189761723896633
0.275422870333817,0,0,0.173878873212625,0.190918587247239
0.2809,0,0,0.174670612894804,0.192160794388004
0.2916,0,0,0.176126208563824,0.194489468771718
0.301995172040202,0,0,0.177407461338652,0.1966440040293
0.3025,0,0,0.177465494821488,0.196745632684658
0.3136,0,0,0.178695116354586,0.198928599602305
0.3249,0,0,0.179829469251177,0.201041822786188
0.331131121482591,0,0,0.180421123059858,0.202156339120969
0.3364,0,0,0.180812740157025,0.203075533826477
0.3481,0,0,0.181695660566509,0.205031200861058
0.36,0,0,0.182451797537691,0.206903037733656
0.363078054770101,0,0,0.182620953503431,0.207369347080637
0.398107170553497,0,0,0.183963655741139,0.212212213191394
0.436515832240166,0,0,0.184149935029554,0.216535184941389
0.478630092322638,0,0,0.182865897324437,0.220205714475394
0.509961118241563,0,0,0.180921472342375,0.222259789691763
0.524807460249773,0.629728370487834,0,0.17972103300108,0.223003901658909
0.575439937337157,0.584989789105323,0,0.174094267811661,0.22481544624929
0.630957344480193,0.620308168102047,0,0.165258077766773,0.225236207201313
0.691830970918936,0.674220836457838,0,0.152021486707447,0.223965443993809
0.758577575029184,0.73927978981643,0,0.132533936971524,0.220475486716461
0.778768566852023,0.759317197484399,0,0.125446592189856,0.218989789608436
0.81,0.790608147461808,0.809021000245246,0.113185508824258,0.216286764762532
0.8281,0.808694355699379,0.777349231525582,0.105282227995118,0.214490934199271
