Omega/M,T-0.3M,T-0.5M,T-0.7M,T-0.9M,T-1.1M,T-1.3M,T-1.5M
0.01,0.00103183942299266,0.00401699939411363,0.00558928676430846,0.00492435954675755,0.00343467453689421,0.00240043539273118,0.0017813693849749
0.0102329299228075,0.00105587852967689,0.00411070452439808,0.0057195280745404,0.00503922587970539,0.00351471186743657,0.00245637270443525,0.00182286950696327
0.010471285480509,0.00108047793461321,0.00420669499731791,0.00585288526539674,0.00515671882097017,0.00359661890219524,0.00251360681736448,0.00186534203423094
0.0107151930523761,0.00110565071889462,0.00430483906943078,0.00598926719610357,0.0052768354515616,0.00368045876059179,0.00257218304332775,0.0019088005955547
0.0109647819614319,0.00113141027112075,0.00440513096490349,0.00612909834453613,0.00540009095415357,0.00376624753824469,0.00263211769450642,0.00195327496587994
0.0112201845430196,0.00115777029482622,0.00450778407943809,0.00627206239063438,0.00552592791659083,0.00385401211281631,0.00269345329794484,0.00199878564586505
0.0114815362149688,0.00118474481608308,0.00461286107607961,0.00641813926164578,0.00565482440805358,0.00394384217283689,0.0027562190756719,0.00204536067235756
0.0117489755493953,0.00121234819147607,0.00472042720196655,0.0065678978205403,0.00578647259228877,0.00403578682416993,0.00282045191454184,0.00209301953477536
0.0120226443461741,0.00124059511610897,0.0048305079888797,0.0067211420393145,0.00592147866824559,0.00412987620042175,0.00288618740691709,0.00214178449931235
0.0123026877081238,0.00126950063212387,0.0049431130273343,0.00687775300605513,0.0060596044833564,0.00422613950286427,0.00295344566765277,0.00219169243437428
0.0125892541179417,0.00129908013708508,0.00505837949723393,0.00703830941768875,0.00620080450457803,0.00432467493542775,0.00302227559810291,0.00224276410765438
0.0128824955169313,0.00132931921117871,0.00517631860274786,0.00720259446110014,0.00634571170728886,0.00442547757861961,0.00309271557537978,0.00229502352329945
0.0131825673855641,0.00136024888312044,0.00529699903600637,0.00737040342730841,0.00649369192689139,0.00452864969374084,0.0031647634902825,0.00234850067311322
0.0134896288259165,0.00139194401672271,0.00541997021729542,0.00754245521653578,0.00664486557624903,0.00463428244329602,0.00323856275465072,0.00240323331910408
0.0138038426460288,0.00142437835154246,0.00554630849600437,0.00771841728147215,0.00679999749947088,0.00474235193660362,0.00331404573251959,0.00245923167006328
0.0141253754462275,0.00145752862407383,0.00567586527576756,0.0078982898473302,0.00695882727397606,0.00485287577138318,0.00339129384219312,0.00251653775953096
0.0144543977074593,0.00149149234679685,0.00580844326066631,0.0080828761040025,0.00712111409845368,0.00496604790240462,0.00347034861716959,0.00257518556347471
0.0147910838816821,0.00152621622040671,0.00594416194081541,0.00827161943745099,0.0072872533345101,0.0050818369675409,0.00355124109391153,0.00263520067100914
0.0151356124843621,0.00156182146393217,0.00608266383394872,0.00846448626043716,0.00745728988302142,0.00520037669266955,0.00363402738538554,0.00269661222204415
0.0154881661891248,0.00159818237185359,0.00622441097942972,0.00866214991223689,0.00763129336997651,0.00532163065089938,0.00371873676393173,0.00275946157010864
0.0158489319246111,0.0016354056801643,0.00636991957758738,0.00886434943399835,0.00780952905043796,0.00544575424860177,0.00380543587825767,0.00282377452523076
0.0162181009735893,0.00167348219655956,0.00651780726535045,0.00907123635271186,0.00799173057110129,0.00557280147603022,0.00389414085731463,0.00288958673957888
0.0165958690743756,0.00171248344897258,0.00667027831008334,0.00928312100229088,0.00817819973481495,0.005702818364298,0.0039849473215884,0.00295693834055561
0.0169824365246174,0.00175234270227445,0.00682601026901279,0.00949959544194689,0.00836905704977534,0.0058358165314228,0.00407784895078416,0.00302585602021801
0.0173780082874938,0.00179318415732795,0.00698518391827238,0.00972173029467913,0.00856462125934141,0.0059719631106363,0.00417293677677118,0.00309638810250033
0.0177827941003892,0.00183486552918215,0.00714817453278812,0.00994886883867143,0.0087643824918217,0.00611129590595316,0.00427024619104277,0.00316856121026356
0.0181970085860998,0.00187763293545353,0.00731492980308626,0.0101808853838388,0.00896904826939428,0.00625389049788418,0.00436982277537561,0.00324242147456886
0.0186208713666287,0.0019213180247953,0.0074856012498104,0.0104187121811369,0.00917849153991105,0.00639981943521631,0.00447172112778418,0.00331800817027442
