T/M,Mott_momenta
0.85,0
0.9,0
0.95,0
0.98,0
0.982,0.063180685043335
0.984,0.172792673110962
0.986,0.237557172775269
0.988,0.288222551345825
0.99,0.33267617225647
0.992,0.372780561447144
0.994,0.408525705337524
0.996,0.443092584609985
0.998,0.475826978683472
1,0.507142782211304
1.01,0.649442434310913
1.06,1.14218068122864
1.11,1.63293957710266
1.16,2.12345147132874
1.21,2.62418723106384
1.26,3.11533999443054
