T/M,Full pressure,boosted pressure
0.02,0.00391451258743128,0.00148662417906336
0.05,0.0536713345597932,0.0256647453247608
0.1,0.107848845816061,0.0568296156585548
0.132203389830508,0.12610201363451,0.0671145393156808
0.164406779661017,0.139466354980683,0.0732842253899675
0.196610169491525,0.150730511886981,0.0766117107698276
0.228813559322034,0.160907630961617,0.0778684043681553
0.261016949152542,0.171886059860283,0.0776519523214565
0.293220338983051,0.181183164967366,0.0765024830531497
0.325423728813559,0.191605210988021,0.0748424432406501
0.357627118644068,0.202194048613811,0.0729333049065518
0.389830508474576,0.212866277118489,0.070927985794145
0.422033898305085,0.223700984393444,0.0689160570803227
0.454237288135593,0.234081344841716,0.0669156643004949
0.486440677966102,0.24431775243195,0.0649467946546204
0.51864406779661,0.252961819402698,0.0630035801325159
0.550847457627119,0.259330088342309,0.0610721627557883
0.583050847457627,0.264691490143176,0.0591407433495638
0.615254237288136,0.268759791596206,0.0572052959916631
0.647457627118644,0.271617168038977,0.0552242890099582
0.679661016949153,0.273041986272506,0.053208772618313
0.711864406779661,0.27310945501905,0.0511432044793587
0.74406779661017,0.27164160085452,0.049030924773404
0.776271186440678,0.26878626197348,0.0468737554903864
0.808474576271187,0.264552144295358,0.0446947134660135
0.840677966101695,0.258965915884603,0.0425381887568675
0.872881355932203,0.252303038091812,0.0404046673158549
0.905084745762712,0.244739584032991,0.0383751676943584
0.93728813559322,0.236859741866819,0.0364558581649896
0.969491525423729,0.228370362527218,0.0346756762191706
1.00169491525424,0.219523731548475,0.0330362666197325
1.03389830508475,0.210770652754542,0.0315389385148718
1.06610169491525,0.201874589609275,0.0301650463516998
1.09830508474576,0.194262086454228,0.0289073215170175
1.13050847457627,0.186474567666127,0.027747989848579
1.16271186440678,0.178789389398338,0.026677939076408
1.19491525423729,0.173200822357114,0.0256877925534348
1.2271186440678,0.164941235450599,0.0247657340620524
1.25932203389831,0.158396587840376,0.0239054825057932
1.29152542372881,0.152111786478029,0.023099447311949
1.32372881355932,0.145893911331445,0.0223417409731015
1.35593220338983,0.140144147794232,0.0216279789516173
1.38813559322034,0.134629893889409,0.0209518961431241
1.42033898305085,0.129452117676378,0.0203135352539643
1.45254237288136,0.124326179606799,0.0197054677469574
1.48474576271186,0.119304831609176,0.0191279486048335
1.51694915254237,0.114838487380818,0.018577885188779
1.54915254237288,0.110425293817942,0.0180519947673371
1.58135593220339,0.106376475349948,0.0175485811953448
1.6135593220339,0.102412407277787,0.0170677443767693
1.64576271186441,0.0983431893653953,0.0166059944809577
1.67796610169492,0.094747862074709,0.0161626628240815
1.71016949152542,0.0913720648745084,0.0157375406111363
1.74237288135593,0.0880932061800012,0.0153282781091513
1.77457627118644,0.0849679554672334,0.0149342947808831
1.80677966101695,0.0839281705059548,0.0145544528836687
1.83898305084746,0.0811854720303684,0.0141885256191038
1.87118644067797,0.0783897491082087,0.0138350262999713
1.90338983050847,0.0757182462718612,0.0134941444715272
1.93559322033898,0.071938620442369,0.0131645401412148
1.96779661016949,0.069541070370219,0.0128462291276504
2,0.0683875995379269,0.0125382863330521
