# full fluctuation pressure: T	Pressure/T^3
0.1	0.01401487939692875
0.12	0.025606792400909045
0.14	0.03782110050459283
0.16	0.04995928960564215
0.18	0.061773457480712744
0.2	0.07324942099823298
0.22	0.08449458529436053
0.24	0.09537399036341102
0.26	0.10626797499753668
0.28	0.11663811318553986
0.3	0.1272496021264485
0.32	0.13733451346336195
0.34	0.1471473636532313
0.36	0.1573546656085555
0.38	0.16752846181143055
0.4	0.17650795596667376
0.42	0.185644880020103
0.44	0.19461148346161708
0.46	0.2032489432391643
0.48	0.21188377512174317
0.5	0.22004199368565297
0.52	0.22790414383961652
0.54	0.23587009041800622
0.56	0.24280207789299293
0.58	0.24985933324633802
0.6	0.2564900226709418
0.62	0.26283262217102055
0.64	0.26818737244081836
0.66	0.27357164481035917
0.68	0.27811121502680436
0.7	0.2812529691334453
0.72	0.2829280613034627
0.74	0.2830517416838551
0.76	0.28112002324984264
0.78	0.2753406934978085
0.8	0.26960166729105006
0.82	0.2628766097077772
0.84	0.2582271028126792
0.86	0.2528914050983925
0.88	0.24627823848246405
0.9	0.24021326953092667
0.92	0.23452702183229163
0.94	0.22945812042012426
0.96	0.22470563220653447
0.98	0.2203388965758181
1.0	0.21630401270518
1.02	0.21219955304077023
1.04	0.2087721968212659
1.06	0.20557134801281887
1.08	0.20440110206306014
1.1	0.20149129661774293
1.12	0.1988159238237856
1.14	0.196316876265844
1.16	0.19393589195453684
1.18	0.19172167170485419
1.2	0.1896080709543735
1.22	0.187602376534879
1.24	0.18439860541256026
1.26	0.18261813072763944
1.28	0.18095646492375989
1.3	0.17936320025792332
1.32	0.17785501152624614
1.34	0.17641981810801058
1.36	0.17504785316495072
1.38	0.1737346242983501
1.4	0.17251194332263559
1.42	0.1712785133428237
1.44	0.1701295658080317
1.46	0.16902907142366175
1.48	0.16796467839034032
1.5	0.16695390140273364
1.52	0.16595864970516025
1.54	0.16500370691790422
1.56	0.16412044286668243
1.58	0.16324802000266314
1.6	0.16240067035099898
1.62	0.16158621643360618
1.64	0.16077914196897783
1.66	0.1600151192987584
1.68	0.1668359606708711
1.7	0.16595771739917425
1.72	0.15788440070107584
1.74	0.15721854316783612
1.76	0.15657052768775437
1.78	0.15594772100291598
1.8	0.15534478922267156
1.82	0.1547549206959227
1.84	0.15418140427875407
1.86	0.15362744927184588
1.88	0.15308772309534058
1.9	0.1525624217463855
1.92	0.15205526238487624
1.94	0.15155972996831063
1.96	0.15107402823944746
1.98	0.1506100887155552
2.0	0.1501481793597055
